TRACTFIPS10,Tract ID IHS,City -Suburb,Community Area,Median Household Income ,Median Family Income , Median Gross Rent , Median Home Value ,Share of  Married-Couple family with householder 15to34years,Share of Nonfamily Households15to34years,Share of Householder Aged 15to34 ,Share of Householder Aged 65,Share of households with Social Security Income,Share of households with Retirement Income,Share Family Households,share with Cash Public Assistance or Food Stamps,Below Poverty Level perPopulation,famliyhousehold Single-Parent Households with  children under 18,share of White Alone, share of African American Alone, share ofAsian Alone,Largest Racial Category by Share of Population, share of Hispanic or Latino,share of Households Owner-occupied, share of HouseholdsRenter-occupied,share of owner-occupied  in Single Family, owner-occupied units 24,owner-occupied 5 to 49units,renter-occupiedin Single Family, renter-occupied 2to4units, renter-occupied 5to49units,renter-occupied  in 50+,"Cumulative Foreclosure Filing Activity, 2005","Cumulative Foreclosure Filing Activity, 2006","Cumulative Foreclosure Filing Activity, 2007","Cumulative Foreclosure Filing Activity, 2008","Cumulative Foreclosure Filing Activity, 2009","Cumulative Foreclosure Filing Activity, 2010","Cumulative Foreclosure Filing Activity, 2011","Cumulative Foreclosure Filing Activity, 2012","Mortgage Originations, 2008","Mortgage Originations, 2009","Mortgage Originations, 2010","Mortgage Originations, 2011","Mortgage Originations, 2012","Mortgages per 100 Residential Parcels, 2008","Mortgages per 100 Residential Parcels, 2009","Mortgages per 100 Residential Parcels, 2010","Mortgages per 100 Residential Parcels, 2011","Mortgages per 100 Residential Parcels, 2012",Violent per100 population,Property per100 population,Motor Vehicle Theft per100 population,Other per100 population,Part I Crimesper 100population,LAT,LON
17031010100,101,Chicago,ROGERS PARK,31063,53194,786,207600,0.102,0.158,0.332,0.083,0.174,0.065,0.427,0.265,0.319,0.411,0.388,0.478,0.092,African-American,0.112,0.165,0.835,0.262,0,0.651,0,0.16,0.752,0.089,8,16,24,44,68,97,122,144,140,100,71,62,115,14.8,10.6,7.5,6.6,12.2,6,2.4,0.3,7.4,8.7,42.0212617,-87.6698442
17031010201,102.01,Chicago,ROGERS PARK,38766,39750,959,207400,0.062,0.183,0.28,0.071,0.124,0.069,0.481,0.222,0.345,0.26,0.356,0.465,0.072,African-American,0.246,0.32,0.68,0.338,0.078,0.584,0.026,0.292,0.608,0.074,20,36,82,136,215,290,352,399,249,143,133,137,131,14.4,8.2,7.7,7.9,7.6,3.1,1.9,0.3,4.3,5,42.0160076,-87.6801485
17031010202,102.02,Chicago,ROGERS PARK,36369,58309,925,242600,0.07,0.091,0.2,0.131,0.25,0.075,0.481,0.228,0.267,0.175,0.515,0.349,0.016,White,0.234,0.221,0.779,0.421,0.194,0.385,0,0.198,0.585,0.217,1,7,8,18,30,61,74,90,83,68,38,29,47,17.4,14.2,7.9,6.1,9.8,7.6,9.2,0.3,7.8,16.8,42.0160503,-87.6733216
17031010300,103,Chicago,ROGERS PARK,41315,49892,888,214100,0.065,0.218,0.334,0.089,0.11,0.043,0.394,0.156,0.224,0.185,0.54,0.277,0.108,White,0.14,0.358,0.642,0.178,0.146,0.64,0.018,0.042,0.572,0.368,14,28,42,63,106,149,190,227,289,164,129,100,157,18.2,10.3,8.1,6.3,9.9,1.8,2,0.3,2.6,3.8,42.0159407,-87.6665351
17031010400,104,Chicago,ROGERS PARK,43125,85385,890,242400,0.063,0.297,0.372,0.073,0.118,0.039,0.28,0.116,0.21,0.131,0.705,0.148,0.09,White,0.138,0.364,0.636,0.249,0.052,0.65,0.018,0.106,0.429,0.446,3,7,15,18,33,49,62,69,126,99,86,76,89,15.9,12.5,10.8,9.6,11.2,1.1,1.8,0,2.1,2.9,42.0064109,-87.6588157
17031010501,105.01,Chicago,ROGERS PARK,34481,44315,770,162300,0.082,0.245,0.359,0.131,0.135,0.036,0.306,0.18,0.227,0.205,0.548,0.37,0.039,White,0.053,0.221,0.779,0.136,0.045,0.789,0.014,0.101,0.639,0.247,4,4,10,27,48,80,100,126,114,77,68,50,106,11.8,7.9,7,5.2,10.9,2.3,2.5,0.3,2.8,4.8,42.0094117,-87.6639581
17031010502,105.02,Chicago,ROGERS PARK,28607,55553,789,242500,0.038,0.333,0.416,0.062,0.125,0.036,0.324,0.174,0.459,0.15,0.591,0.148,0.156,White,0.144,0.189,0.811,0.103,0.07,0.827,0,0.164,0.413,0.411,1,3,11,27,43,60,70,89,97,90,69,68,84,13.5,12.6,9.6,9.5,11.7,1.5,1.5,0.2,1.5,3.1,42.0045171,-87.6633275
17031010503,105.03,Chicago,ROGERS PARK,20524,22273,663,566500,0.075,0.304,0.396,0.343,0.372,0.027,0.256,0.351,0.365,0.029,0.699,0.116,0.15,White,0.137,0.16,0.84,0.246,0.491,0.263,0.032,0.21,0.21,0.548,0,0,2,5,7,13,17,19,51,43,33,38,47,14.3,12.1,9.3,10.7,13.2,1.7,3.6,0.4,1.7,5.2,42.00032,-87.6631269
17031010600,106,Chicago,ROGERS PARK,50236,65526,874,242900,0.119,0.138,0.3,0.116,0.131,0.099,0.505,0.158,0.176,0.145,0.464,0.349,0.039,White,0.257,0.297,0.703,0.296,0.142,0.538,0.027,0.114,0.708,0.15,6,12,20,52,88,133,165,198,184,141,131,122,214,11.5,8.8,8.2,7.6,13.4,2.1,1.9,0.3,2.2,4,42.0062784,-87.6676833
17031010701,107.01,Chicago,ROGERS PARK,54690,61563,951,254400,0.087,0.102,0.257,0.087,0.125,0.06,0.576,0.126,0.083,0.172,0.579,0.176,0.021,White,0.425,0.485,0.515,0.339,0.178,0.468,0.103,0.157,0.721,0.019,4,11,22,39,56,89,117,139,117,134,128,76,113,12.6,14.4,13.7,8.2,12.1,1.1,2,0.2,2.1,3.1,42.0091481,-87.6786203
17031010702,107.02,Chicago,ROGERS PARK,39805,42987,888,220100,0.103,0.237,0.374,0.037,0.101,0.009,0.52,0.218,0.329,0.161,0.5,0.214,0.027,White,0.527,0.324,0.676,0.464,0,0.536,0,0.204,0.796,0,6,13,21,54,106,152,186,219,99,93,64,58,125,10,9.4,6.5,5.9,12.6,2.4,1.7,0.2,3.4,4.1,42.0090199,-87.6727257
17031020100,201,Chicago,WEST RIDGE,50080,56573,1053,201400,0.064,0.043,0.152,0.24,0.304,0.133,0.575,0.117,0.192,0.131,0.499,0.363,0.126,White,0.207,0.524,0.476,0.278,0.188,0.421,0.063,0.391,0.46,0.086,5,9,30,49,98,148,174,196,121,81,52,75,59,12.5,8.4,5.4,7.8,6.1,1.2,2.3,0.2,2,3.5,42.0157197,-87.6871154
17031020200,202,Chicago,WEST RIDGE,62415,76458,961,331300,0.076,0.011,0.126,0.218,0.265,0.147,0.844,0.148,0.233,0.129,0.606,0.169,0.201,White,0.104,0.74,0.26,0.971,0.019,0.01,0.214,0.377,0.297,0.113,3,11,32,60,95,150,180,213,230,281,273,214,295,12.9,15.8,15.3,12,16.6,0.9,1.8,0.2,1.4,2.6,42.0156903,-87.6995191
17031020301,203.01,Chicago,WEST RIDGE,55000,83012,836,182100,0.069,0.016,0.125,0.466,0.426,0.218,0.632,0.089,0.053,0.097,0.844,0.056,0.04,White,0.1,0.792,0.208,0.412,0.007,0.033,0.052,0.258,0.125,0.565,5,11,29,49,75,105,132,166,235,250,196,176,211,13,13.8,10.8,9.7,11.6,0.4,1.1,0.2,0.8,1.5,42.0068651,-87.7051865
17031020302,203.02,Chicago,WEST RIDGE,56181,68100,979,336000,0.091,0.055,0.196,0.216,0.239,0.076,0.614,0.091,0.119,0.059,0.712,0.07,0.119,White,0.16,0.582,0.418,0.635,0.144,0.088,0.146,0.423,0.224,0.087,6,9,27,73,166,204,233,256,183,202,111,106,140,13.6,15,8.2,7.9,10.4,0.9,1.7,0.2,1.8,2.6,42.0085406,-87.6949634
17031020400,204,Chicago,WEST RIDGE,52545,60605,982,266900,0.068,0.009,0.139,0.167,0.225,0.112,0.617,0.06,0.109,0.085,0.583,0.168,0.156,White,0.116,0.489,0.511,0.468,0.195,0.313,0.03,0.282,0.662,0.026,3,11,26,81,153,208,235,253,136,94,93,82,105,11.2,7.8,7.7,6.8,8.7,1.2,1.7,0.1,2.1,2.9,42.0084869,-87.6859126
17031020500,205,Chicago,WEST RIDGE,36455,43925,960,160400,0.162,0.122,0.32,0.158,0.193,0.038,0.615,0.256,0.183,0.11,0.429,0.18,0.239,White,0.292,0.368,0.632,0.101,0.485,0.414,0.075,0.527,0.292,0.104,3,13,42,82,149,213,248,294,124,58,47,51,69,12,5.6,4.5,4.9,6.7,2.7,2.4,0.3,2.6,5.1,42.0013129,-87.6841982
17031020601,206.01,Chicago,WEST RIDGE,43047,51346,1054,300300,0.195,0.059,0.332,0.192,0.234,0.091,0.755,0.165,0.266,0.108,0.628,0.021,0.19,White,0.233,0.443,0.557,0.669,0.225,0.106,0.032,0.407,0.561,0,5,12,30,65,129,172,203,228,176,128,125,125,139,14.2,10.3,10.1,10.1,11.2,1.1,1.7,0.2,1.2,2.8,42.0008746,-87.7018025
17031020602,206.02,Chicago,WEST RIDGE,41386,45854,937,278400,0.111,0.1,0.254,0.17,0.19,0.109,0.623,0.214,0.23,0.121,0.362,0.098,0.359,White,0.295,0.368,0.632,0.491,0.376,0.133,0.026,0.737,0.237,0,9,14,25,38,74,99,120,134,94,106,93,80,83,11.6,13.1,11.5,9.9,10.2,1.6,3.3,0.3,2.2,4.9,42.0013156,-87.6936373
17031020701,207.01,Chicago,WEST RIDGE,80329,71875,1319,438600,0.131,0.024,0.229,0.266,0.278,0.228,0.84,0.027,0.225,0.159,0.697,0.072,0.141,White,0.129,0.667,0.333,0.854,0.077,0.068,0.05,0.886,0.064,0,2,9,13,21,31,37,47,52,81,48,60,43,74,15,8.9,11.1,8,13.7,2.4,4.2,0.5,3.4,6.6,41.9868915,-87.7036897
17031020702,207.02,Chicago,WEST RIDGE,41250,49570,888,292400,0.098,0.042,0.24,0.202,0.273,0.052,0.664,0.265,0.151,0.153,0.502,0.016,0.399,White,0.186,0.452,0.548,0.412,0.36,0.214,0.051,0.512,0.367,0.07,4,15,37,90,159,230,276,309,151,110,119,104,129,10.5,7.7,8.3,7.3,9,1.5,2.1,0.4,1.7,3.5,41.995289,-87.7053882
17031020801,208.01,Chicago,WEST RIDGE,52500,55083,950,298900,0.066,0.078,0.181,0.147,0.158,0.04,0.675,0.192,0.243,0.153,0.647,0.049,0.153,White,0.397,0.368,0.632,0.362,0.549,0.089,0.083,0.608,0.309,0,6,17,34,69,112,159,191,211,140,162,112,106,116,12.3,14.3,9.9,9.3,10.2,1.3,2.2,0.5,2,3.4,41.9868081,-87.6944149
17031020802,208.02,Chicago,WEST RIDGE,39406,48047,1028,277500,0.096,0.079,0.198,0.113,0.161,0.134,0.755,0.256,0.298,0.078,0.384,0.097,0.371,White,0.217,0.367,0.633,0.531,0.406,0.063,0.034,0.427,0.539,0,4,15,43,119,193,241,275,307,144,136,98,83,120,12,11.3,8.2,6.9,10,2,2.1,0.3,2.5,4,41.9940592,-87.6946306
17031020901,209.01,Chicago,WEST RIDGE,38426,39241,1040,185200,0.114,0.143,0.324,0.101,0.151,0.06,0.623,0.172,0.246,0.151,0.419,0.145,0.325,White,0.259,0.412,0.588,0.132,0.399,0.448,0,0.363,0.556,0.081,6,16,53,105,181,239,276,316,137,96,63,52,75,13.6,9.5,6.2,5.1,7.4,2.5,2.3,0.3,2.3,4.8,41.9950577,-87.6864264
17031020902,209.02,Chicago,WEST RIDGE,38854,53107,827,117800,0.035,0.084,0.139,0.224,0.263,0.146,0.568,0.158,0.16,0.058,0.548,0.184,0.215,White,0.133,0.66,0.34,0.169,0.082,0.691,0.093,0,0.445,0.461,5,19,42,89,143,213,244,277,123,77,65,54,64,10.9,6.9,5.8,4.8,5.7,1.2,1.6,0,1.8,2.8,41.9942499,-87.6786971
17031030101,301.01,Chicago,EDGEWATER,37821,60446,797,203600,0.105,0.179,0.284,0.199,0.251,0.142,0.383,0.135,0.239,0.129,0.613,0.194,0.086,White,0.251,0.378,0.622,0.016,0,0.048,0.022,0.008,0.436,0.534,6,21,36,62,90,128,162,189,125,102,98,74,104,9.4,7.6,7.3,5.5,7.8,2,3.6,0.2,2.3,5.6,41.9913475,-87.655042
17031030102,301.02,Chicago,EDGEWATER,33583,60438,763,222700,0.041,0.289,0.353,0.107,0.144,0.084,0.309,0.083,0.237,0.081,0.546,0.241,0.134,White,0.123,0.442,0.558,0.085,0,0.112,0,0,0.382,0.618,11,23,36,51,77,116,141,168,157,116,94,74,113,12.5,9.3,7.5,5.9,9,1.9,1.8,0.3,1.7,3.7,41.9930264,-87.6550225
17031030103,301.03,Chicago,EDGEWATER,26096,16484,658,121000,0.021,0.382,0.402,0.137,0.149,0.094,0.201,0.068,0.332,0,0.665,0.221,0.074,White,0.143,0.235,0.765,0.114,0.121,0,0,0,0.188,0.812,2,9,16,29,36,53,58,66,35,200,84,51,114,3.8,22,9.2,5.6,12.5,1.3,1.5,0.1,2,2.8,41.9955241,-87.6551527
17031030104,301.04,Chicago,EDGEWATER,32537,37880,829,150800,0.026,0.362,0.388,0.108,0.207,0.083,0.208,0.153,0.385,0.067,0.567,0.198,0.138,White,0.094,0.317,0.683,0,0,0.042,0,0,0.236,0.764,0,4,11,19,29,51,65,81,54,25,28,23,33,8.3,3.8,4.3,3.5,5.1,0.7,0.8,0,0.9,1.5,41.9973167,-87.6559765
17031030200,302,Chicago,EDGEWATER,67115,91598,972,389200,0.086,0.187,0.313,0.125,0.169,0.123,0.45,0.052,0.118,0.139,0.793,0.095,0.051,White,0.164,0.478,0.522,0.431,0.305,0.254,0.013,0.485,0.434,0.067,2,10,18,37,57,80,103,120,287,299,303,269,292,17,17.7,18,16,17.3,1.2,3,0.2,1.9,4.1,41.9944414,-87.66523
