Date,Open,High,Low,Close,Volume,Adj Close
7/31/2000,65.44,67.56,64.5,66.75,30470700,51.02
7/28/2000,138,139.38,128.75,129.13,55433800,49.35
7/27/2000,138.5,140.38,136,137,39223800,52.35
7/26/2000,139,140.13,136.56,139,46639800,53.12
7/25/2000,138.73,141.94,137.69,140.88,29623200,53.84
7/24/2000,138.19,142,137.63,138,39835400,52.74
7/21/2000,142.13,142.25,138.06,138.19,32086600,52.81
7/20/2000,138.94,143.25,137.88,142.69,60488400,54.53
7/19/2000,144.94,146.13,138,138.13,72188400,52.79
7/18/2000,144.81,144.83,141.44,143,50683600,54.65
7/17/2000,146.63,147.5,144.38,146.31,46580000,55.91
7/14/2000,144,147.06,143.06,146.69,37471800,56.06
7/13/2000,140.38,145,140.25,143.19,45176000,54.72
7/12/2000,140.25,142.25,138.75,141.19,29824200,53.96
7/11/2000,138.25,141.25,137.13,138.81,42782000,53.05
7/10/2000,137.75,140,137,137.81,31349400,52.66
7/7/2000,137.75,139.88,136.13,139.31,37286800,53.24
7/6/2000,131.5,136.81,130.56,136.63,44906200,52.21
7/5/2000,133.13,134.5,131.38,131.63,42005200,50.3
7/3/2000,134.13,136.88,133.72,136.88,15083800,52.31
6/30/2000,130.88,134.13,129.63,133.69,41431200,51.09
6/29/2000,131.06,134.38,130.5,131.75,47136200,50.35
6/28/2000,131.94,135.69,131,132.38,30631800,50.59
6/27/2000,133.94,136.5,131.25,131.38,33370400,50.21
6/26/2000,135.81,137.2,132.63,134.19,29904800,51.28
6/23/2000,135.25,137.5,134.13,134.38,30321600,51.35
6/22/2000,138,138.38,134,134.06,29696200,51.23
6/21/2000,136.38,139.25,136,139,32891400,53.12
6/20/2000,135.94,140.25,135.94,138.31,58579400,52.86
6/19/2000,128.44,136.69,128.38,136.5,61221200,52.16
6/16/2000,129.25,129.69,125.87,126.06,44086200,48.17
6/15/2000,126.73,130.06,126.5,128.25,33411000,49.01
6/14/2000,130.88,131.31,126,126.44,37008800,48.32
6/13/2000,124.5,131.86,124.12,131.5,39126600,50.25
6/12/2000,127.81,128,124.62,125.06,25947000,47.79
6/9/2000,127.94,128,125.5,127.06,27519200,48.56
6/8/2000,129.63,131.5,126,126.19,34394000,48.22
6/7/2000,129.25,129.38,125.69,128.94,39753400,49.27
6/6/2000,131.31,135.06,129.5,129.56,47425200,49.51
6/5/2000,132.63,135,131.19,132.56,39176000,50.66
6/2/2000,132.81,134.56,132,134.19,42657400,51.28
6/1/2000,126.19,130,126.12,129.69,45978400,49.56
5/31/2000,126.25,127.94,124.5,124.69,54089600,47.65
5/30/2000,119.25,125.87,119.12,125.75,41768000,48.06
5/26/2000,115,119.87,114.37,117.56,30851000,44.93
5/25/2000,118.69,122.25,113.56,115.19,50488800,44.02
5/24/2000,109.62,118.17,109.5,117.37,75482200,44.85
5/23/2000,117.75,119.87,109.81,109.87,50385800,41.99
5/22/2000,117.5,118.56,111.37,118.37,59249600,45.23
5/19/2000,121.87,123.62,116.31,117.87,71968000,45.04
5/18/2000,123.87,126.5,123.12,123.94,50141400,47.36
5/17/2000,122.37,125.44,120.37,123.19,65543200,47.08
5/16/2000,119.75,122.87,118.69,121.87,44468400,46.57
5/15/2000,114.56,118.25,112.75,118.12,41105400,45.14
5/12/2000,116.62,119.5,114.75,115,38429400,43.95
5/11/2000,107.12,116,106.37,115.56,70267600,44.16
5/10/2000,114.5,116.5,105.12,106.06,97225600,40.53
5/9/2000,118.37,119.25,115,116.94,43054000,44.69
5/8/2000,122.25,122.69,117.5,117.62,40937800,44.95
5/5/2000,119,123.87,119,123.37,34217400,47.15
5/4/2000,118.75,120.62,117.06,119.56,40984800,45.69
5/3/2000,120.12,120.62,115.87,119.06,58988600,45.5
5/2/2000,125.87,127.62,120.87,121.19,43871400,46.3
5/1/2000,127.94,131,126.25,127.12,42389800,48.57
4/28/2000,128,129.06,125.87,126.81,44336400,48.45
4/27/2000,117.56,126.56,117,125.31,61088400,47.88
4/26/2000,124.25,125,120.62,120.81,47572000,46.16
4/25/2000,119.73,125.25,119.5,125,51342400,47.76
4/24/2000,111,116.5,110.37,116.12,58320200,44.36
4/20/2000,117.94,119.37,115,115.37,45799000,44.08
4/19/2000,125.61,125.75,118.94,119.06,87377800,45.49
4/18/2000,126.62,131,125.25,129,98558000,49.29
4/17/2000,110,123.25,109.56,123,88873400,46.99
4/14/2000,119.19,120.75,108.37,110.5,92800400,42.22
4/13/2000,123.37,129.25,120.75,121.12,69414600,46.27
4/12/2000,129.94,131.88,121.75,121.87,60169600,46.56
4/11/2000,130,134.25,127.48,130.75,53071200,49.95
4/10/2000,137.5,139.06,130.88,131.13,44849000,50.1
4/7/2000,131.38,137,131.31,136.81,51357200,52.27
4/6/2000,129.25,131.63,127,129.81,55134000,49.59
4/5/2000,129.88,134,127.75,129.88,62101800,49.62
4/4/2000,131.5,134,119,132.75,87341800,50.72
4/3/2000,131.38,133,125.75,130.63,50071600,49.91
3/31/2000,129.63,134.88,128.25,131.94,58442200,50.41
3/30/2000,129.75,133.38,123.06,127,71646800,48.52
3/29/2000,136.5,137.69,131.5,131.88,61325400,50.39
3/28/2000,140.63,142.56,135.13,135.69,44857800,51.84
3/27/2000,139.63,143.75,139.06,142.69,35766200,54.52
3/24/2000,140.13,144.5,137.63,139.06,46898000,53.13
3/23/2000,142.38,143.69,139.44,142.63,45593800,54.49
3/22/2000,140.38,145.38,139.5,144.06,53693200,55.04
3/21/2000,135,138.88,134.13,138.44,51231000,52.89
3/20/2000,129.94,137.38,129.94,135,65163600,51.58
3/17/2000,124.31,130,124,129.88,60851000,49.62
3/16/2000,123.25,125.37,119.62,125.06,54972800,47.78
3/15/2000,119.06,123.12,118.69,120.19,48895600,45.92
3/14/2000,124.25,125.62,117.81,117.87,56785000,45.03
3/13/2000,118.81,125.5,118.75,122.12,67439200,46.66
3/10/2000,117.87,120.62,117.37,120.19,43497600,45.92
3/9/2000,113.69,118.5,112,118.37,38375800,45.22
3/8/2000,116.12,116.44,112.25,114.94,46391200,43.91
3/7/2000,117.81,120,115.19,115.75,39924200,44.22
3/6/2000,118,118.87,116.69,117.37,28032000,44.84
3/3/2000,117,119.75,115.62,119.25,34285000,45.56
3/2/2000,115.37,117.06,114.12,115.75,36469800,44.22
3/1/2000,112.87,116.87,112.5,115.87,40813000,44.27
2/29/2000,113.19,115.62,111.31,113,44414200,43.17
2/28/2000,111.62,114.56,108.25,112.37,47422200,42.93
2/25/2000,113.87,115.37,112.81,113.25,46299000,43.27
2/24/2000,112.44,116.5,110.25,114.25,85347800,43.65
2/23/2000,105.31,111.12,104.31,109.06,40842000,41.67
2/22/2000,104.87,106.81,101.56,106.75,45793600,40.78
2/18/2000,110,110.5,105.19,105.37,50370000,40.26
2/17/2000,108.87,112.37,107.87,110,48669600,42.03
2/16/2000,111.37,112.87,107,107.19,46050000,40.95
2/15/2000,109.94,112.87,105.25,112,62771400,42.79
2/14/2000,106.31,109.94,105.64,109.87,34374200,41.98
2/11/2000,107.25,108.75,105.25,105.87,37756000,40.45
2/10/2000,104.37,108.12,103.19,107.62,43539200,41.12
2/9/2000,108.12,108.87,104.5,104.62,38615200,39.97
2/8/2000,108.81,110.06,108,108.81,38026000,41.57
2/7/2000,104.94,108.12,104.12,107.94,42810000,41.24
2/4/2000,104.37,108.25,104.25,104.75,55953800,40.02
2/3/2000,101.69,104.62,100.75,104.19,56126000,39.81
2/2/2000,101,102.94,99.69,100.06,52080600,38.22
2/1/2000,98.37,101.5,96.62,101.44,48051400,38.74
1/31/2000,93.62,99.06,92.87,98.94,68453200,37.79
1/28/2000,97.25,98.75,93.06,94,53922800,35.9
1/27/2000,99.37,101.12,95.5,98.12,61482000,37.48
1/26/2000,100.75,101.19,96.37,96.5,49306200,36.86
1/25/2000,99.37,101.81,97.44,101.56,51382600,38.79
1/24/2000,102.23,104.87,98.25,98.81,74832600,37.74
1/21/2000,96,98.25,95.62,97.94,55558200,37.41
1/20/2000,99.75,100.81,95.44,95.62,70002000,36.52
1/19/2000,101,102.12,99.87,100.06,45568000,38.22
1/18/2000,100.3,105.75,100.25,102.12,102100600,39
1/14/2000,98.5,106.62,98.25,103.06,184405200,39.36
1/13/2000,92.69,93,89.31,91.06,76104200,34.78
1/12/2000,90.87,94.75,89.25,91.25,97326600,34.85
1/11/2000,88.56,92.37,88.28,89.69,105481800,34.26
1/10/2000,85.75,87.25,84.12,85.75,53619800,32.75
1/7/2000,77.5,82,77.37,82,41096400,31.32
1/6/2000,81.75,83.37,78.19,78.75,55171200,30.08
1/5/2000,83,85.87,80.5,83.62,52389000,31.94
1/4/2000,85.44,87.87,82.25,82.94,51019600,31.68
1/3/2000,83.27,87.37,83.25,87,57710200,33.23
12/31/1999,83.81,83.87,81.94,82.31,11572000,31.44
12/30/1999,84.31,85.37,82.75,83.69,14885400,31.96
12/29/1999,82.62,84.87,82.44,83.87,16024200,32.03
12/28/1999,84.44,85.5,82.87,83,23457400,31.7
12/27/1999,83.44,85.12,82.62,85.06,28611000,32.49
12/23/1999,83.37,83.94,82.5,83.12,21641600,31.75
12/22/1999,83.06,83.62,81.62,82.5,24926600,31.51
12/21/1999,80.56,83.25,80,82.87,34670400,31.65
12/20/1999,82.87,83.19,79.12,81.06,36251400,30.96
12/17/1999,81.37,83,80.5,82.06,69469600,31.34
12/16/1999,79.75,81.12,79.37,80.25,50160200,30.65
12/15/1999,72.2,79.23,72.12,78.94,82046800,30.15
12/14/1999,74.62,75,72.37,72.44,41743400,27.67
12/13/1999,71.25,75.19,70.56,74.06,47804800,28.29
12/10/1999,73.5,74,71.62,72.25,56234800,27.6
12/9/1999,75.62,75.62,72.12,73.25,53826600,27.98
12/8/1999,76.44,77.5,74,74.5,52680200,28.45
12/7/1999,78.25,78.44,76.31,77.19,33654200,29.48
12/6/1999,78.81,79.37,77.19,77.87,28640000,29.74
12/3/1999,79,80,78.5,78.69,36542200,30.05
12/2/1999,75.62,78.12,75.5,77.56,31118400,29.62
12/1/1999,76.06,77.56,75,76.31,45556600,29.15
11/30/1999,78.44,79.69,76.56,76.69,34865800,29.29
11/29/1999,80.25,80.31,78.25,78.94,32651200,30.15
11/26/1999,82,82.25,80.19,80.25,14182200,30.65
11/24/1999,79.94,82.25,79.12,82.19,33626800,31.39
11/23/1999,80.66,81.5,78,79,41043600,30.17
11/22/1999,80.87,81.37,78.87,80.5,36870800,30.75
11/19/1999,78,80.37,77.75,79.87,46497200,30.51
11/18/1999,75.69,78.5,75.64,78.5,37706400,29.98
11/17/1999,77.06,78.75,74.5,74.75,47086400,28.55
11/16/1999,74.5,77,73.62,76.56,55737400,29.24
11/15/1999,76.19,76.23,74,74.06,39333800,28.29
11/12/1999,79.12,79.37,74.5,76.19,87515200,29.1
11/11/1999,79.81,80.44,78.12,79.44,32186200,30.34
11/10/1999,79,81.5,78.25,79,34175200,30.17
11/9/1999,82.25,82.25,79.37,80.06,33702800,30.58
11/8/1999,81.56,83.12,80.75,82.12,26942400,31.36
11/5/1999,82.37,83.87,81.81,82.37,39674400,31.46
11/4/1999,80.44,81.75,80.19,81.56,43687000,31.15
11/3/1999,78.37,80.69,77.75,79.75,50480200,30.46
11/2/1999,77.06,78.19,76.56,77.5,40676400,29.59
11/1/1999,77.62,78.31,75.94,76,45868200,29.02
10/29/1999,75.94,78.06,75.69,77.44,84593000,29.57
10/28/1999,71.12,72.25,70.12,72.19,73409000,27.56
10/27/1999,70.69,70.75,67.94,69.44,72186600,26.51
10/26/1999,74.25,74.62,71.25,71.44,56708600,27.28
10/25/1999,73,73.12,70.81,71.25,35013800,27.2
10/22/1999,72.87,74.37,72.44,73.44,61746200,28.04
10/21/1999,68.44,72.25,67.87,71.69,53021200,27.37
10/20/1999,67.5,70,67.06,69.94,65099000,26.7
10/19/1999,69.62,69.75,65,65.12,84401400,24.86
10/18/1999,70.56,71,67.06,69.37,58185800,26.48
10/15/1999,72.12,73.31,70.81,70.87,48653200,27.06
10/14/1999,72.39,73.5,70.5,73.34,51861200,28
10/13/1999,72.62,74.02,71.37,72.12,120722000,27.53
10/12/1999,78.31,79.81,75.75,76.69,88521800,29.28
10/11/1999,76.19,77.69,76.06,76.5,24459000,29.21
10/8/1999,75.87,76.81,74.81,75.69,36361800,28.9
10/7/1999,76.81,77.81,74.69,75.62,35291000,28.87
10/6/1999,76.87,78.06,76.12,76.94,36667600,29.38
10/5/1999,77.62,78.19,75,76.19,39542200,29.09
10/4/1999,74.19,77.31,73.62,77,41334800,29.4
10/1/1999,74.25,75.5,73.56,74.94,37753600,28.61
9/30/1999,75.19,76.25,73.37,74.31,46111600,28.37
9/29/1999,77.5,77.94,74.87,75.19,46331800,28.71
9/28/1999,78,78.25,75.25,77.5,50034400,29.59
9/27/1999,76.69,79.75,75.75,78.19,71235400,29.85
9/24/1999,75.19,76.12,72.62,75.67,124564000,28.89
9/23/1999,83.12,83.19,76.5,77.5,73686000,29.59
9/22/1999,82.31,83.69,81.37,82.81,42055400,31.62
9/21/1999,83.75,83.75,81.94,82,38608600,31.31
9/20/1999,84.69,85.62,83.56,84.06,20707200,32.09
9/17/1999,82.56,84.87,82.19,84.62,51575200,32.31
9/16/1999,82.37,83.44,80.37,82.62,56585200,31.54
9/15/1999,86.62,86.62,82.75,83,46949000,31.69
9/14/1999,84.37,85.87,84.06,85.81,36912800,32.76
9/13/1999,86.56,87.62,84.06,84.37,36046600,32.21
9/10/1999,87.81,87.87,85.87,87.37,32576600,33.36
9/9/1999,86.31,87.81,85.5,87.75,39662000,33.5
9/8/1999,87,88.62,85.56,85.94,44545800,32.81
9/7/1999,89,89.36,87.25,87.62,39605600,33.45
9/3/1999,87.06,89.5,87,89.31,48828400,34.1
9/2/1999,82.25,86,82,85.31,50979600,32.57
9/1/1999,83.69,85.12,83.19,83.44,53947000,31.86
8/31/1999,82.31,83.5,80.31,82.19,43185000,31.38
