year	Source	Population
-1000000	World Population before 10000 BCE (Kremer's estimates)	0.125
-300000	World Population before 10000 BCE (Kremer's estimates)	1
-25000	World Population before 10000 BCE (Kremer's estimates)	3.34
-10000	World Population before 10000 BCE (Kremer's estimates)	4
-10000	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	4
-5000	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	5
-4000	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	7
-3000	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	14
-2000	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	27
-1000	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	50
-500	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	100
-200	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	150
1	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	170
200	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	190
400	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	190
600	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	200
800	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	220
1000	World Population after 10000 BCE and before 1000 CE (Kremer's estimates)	265
1000	World Population after 1000 CE (Kremer's estimates)	265
1100	World Population after 1000 CE (Kremer's estimates)	320
1200	World Population after 1000 CE (Kremer's estimates)	360
1300	World Population after 1000 CE (Kremer's estimates)	360
1400	World Population after 1000 CE (Kremer's estimates)	350
1500	World Population after 1000 CE (Kremer's estimates)	425
1600	World Population after 1000 CE (Kremer's estimates)	545
1650	World Population after 1000 CE (Kremer's estimates)	545
1700	World Population after 1000 CE (Kremer's estimates)	610
1750	World Population after 1000 CE (Kremer's estimates)	720
1800	World Population after 1000 CE (Kremer's estimates)	900
1850	World Population after 1000 CE (Kremer's estimates)	1200
1875	World Population after 1000 CE (Kremer's estimates)	1325
1900	World Population after 1000 CE (Kremer's estimates)	1625
1920	World Population after 1000 CE (Kremer's estimates)	1813
1930	World Population after 1000 CE (Kremer's estimates)	1987
1940	World Population after 1000 CE (Kremer's estimates)	2213
1950	World Population after 1000 CE (Kremer's estimates)	2516
